,element,mass.number1,mass.number2,abundance.covariance
1194,Yb,171,171,6.53E-07
1195,Yb,172,171,6.07E-07
1196,Yb,173,171,2.94E-07
1197,Yb,174,171,-3.73E-07
1198,Yb,176,171,-3.87E-07
1199,Yb,168,172,1.30E-08
1200,Yb,170,172,1.69E-07
1201,Yb,171,172,6.07E-07
1202,Yb,172,172,5.63E-07
1203,Yb,173,172,2.73E-07
1204,Yb,174,172,-3.47E-07
1205,Yb,176,172,-3.60E-07
1206,Yb,168,173,6.30E-09
1207,Yb,170,173,8.19E-08
1208,Yb,171,173,2.94E-07
1209,Yb,172,173,2.73E-07
1210,Yb,173,173,1.32E-07
1211,Yb,174,173,-1.68E-07
1212,Yb,176,173,-1.74E-07
1213,Yb,168,174,-8.00E-09
1214,Yb,170,174,-1.04E-07
1215,Yb,171,174,-3.73E-07
1216,Yb,172,174,-3.47E-07
1217,Yb,173,174,-1.68E-07
1218,Yb,174,174,2.13E-07
1219,Yb,176,174,2.21E-07
1220,Yb,168,176,-8.30E-09
1221,Yb,170,176,-1.08E-07
1222,Yb,171,176,-3.87E-07
1223,Yb,172,176,-3.60E-07
1224,Yb,173,176,-1.74E-07
1225,Yb,174,176,2.21E-07
1226,Yb,176,176,2.30E-07
1227,Lu,175,175,5.63E-09
1228,Lu,176,175,-5.63E-09
1229,Lu,175,176,-5.63E-09
1230,Lu,176,176,5.63E-09
1231,Hf,174,174,4.80E-07
1232,Hf,176,174,2.80E-06
1233,Hf,177,174,6.40E-07
1234,Hf,178,174,1.12E-06
1235,Hf,179,174,-4.40E-07
1236,Hf,180,174,-1.32E-06
1237,Hf,174,176,2.80E-06
1238,Hf,176,176,1.63E-05
1239,Hf,177,176,3.73E-06
1240,Hf,178,176,6.53E-06
1241,Hf,179,176,-2.57E-06
1242,Hf,180,176,-7.70E-06
1243,Hf,174,177,6.40E-07
1244,Hf,176,177,3.73E-06
1245,Hf,177,177,8.53E-07
1246,Hf,178,177,1.49E-06
1247,Hf,179,177,-5.87E-07
1248,Hf,180,177,-1.76E-06
1249,Hf,174,178,1.12E-06
1250,Hf,176,178,6.53E-06
1251,Hf,177,178,1.49E-06
1252,Hf,178,178,2.61E-06
1253,Hf,179,178,-1.03E-06
1254,Hf,180,178,-3.08E-06
1255,Hf,174,179,-4.40E-07
1256,Hf,176,179,-2.57E-06
1257,Hf,177,179,-5.87E-07
1258,Hf,178,179,-1.03E-06
1259,Hf,179,179,4.03E-07
1260,Hf,180,179,1.21E-06
1261,Hf,174,180,-1.32E-06
1262,Hf,176,180,-7.70E-06
1263,Hf,177,180,-1.76E-06
1264,Hf,178,180,-3.08E-06
1265,Hf,179,180,1.21E-06
1266,Hf,180,180,3.63E-06
1267,Ta,180,180,3.41E-12
1268,Ta,181,180,-3.41E-12
1269,Ta,180,181,-3.41E-12
1270,Ta,181,181,3.41E-12
1271,W,180,180,3.33E-09
1272,W,182,180,5.33E-08
1273,W,183,180,1.33E-08
1274,W,184,180,-6.67E-09
1275,W,186,180,-6.33E-08
1276,W,180,182,5.33E-08
1277,W,182,182,8.53E-07
1278,W,183,182,2.13E-07
1279,W,184,182,-1.07E-07
1280,W,186,182,-1.01E-06
1281,W,180,183,1.33E-08
1282,W,182,183,2.13E-07
1283,W,183,183,5.33E-08
1284,W,184,183,-2.67E-08
1285,W,186,183,-2.53E-07
1286,W,180,184,-6.67E-09
1287,W,182,184,-1.07E-07
1288,W,183,184,-2.67E-08
1289,W,184,184,1.33E-08
1290,W,186,184,1.27E-07
1291,W,180,186,-6.33E-08
1292,W,182,186,-1.01E-06
1293,W,183,186,-2.53E-07
1294,W,184,186,1.27E-07
1295,W,186,186,1.20E-06
1296,Re,185,185,8.33E-08
1297,Re,187,185,-8.33E-08
1298,Re,185,187,-8.33E-08
1299,Re,187,187,8.33E-08
1300,Os,184,184,1.33E-08
1301,Os,186,184,4.27E-07
1302,Os,187,184,1.13E-07
1303,Os,188,184,1.80E-07
1304,Os,189,184,1.53E-07
1305,Os,190,184,1.33E-07
1306,Os,192,184,-2.13E-07
1307,Os,184,186,4.27E-07
1308,Os,186,186,1.37E-05
1309,Os,187,186,3.63E-06
1310,Os,188,186,5.76E-06
1311,Os,189,186,4.91E-06
1312,Os,190,186,4.27E-06
1313,Os,192,186,-6.83E-06
1314,Os,184,187,1.13E-07
1315,Os,186,187,3.63E-06
1316,Os,187,187,9.63E-07
1317,Os,188,187,1.53E-06
1318,Os,189,187,1.30E-06
1319,Os,190,187,1.13E-06
1320,Os,192,187,-1.81E-06
1321,Os,184,188,1.80E-07
1322,Os,186,188,5.76E-06
1323,Os,187,188,1.53E-06
1324,Os,188,188,2.43E-06
1325,Os,189,188,2.07E-06
1326,Os,190,188,1.80E-06
1327,Os,192,188,-2.88E-06
1328,Os,184,189,1.53E-07
1329,Os,186,189,4.91E-06
1330,Os,187,189,1.30E-06
1331,Os,188,189,2.07E-06
1332,Os,189,189,1.76E-06
1333,Os,190,189,1.53E-06
1334,Os,192,189,-2.45E-06
1335,Os,184,190,1.33E-07
1336,Os,186,190,4.27E-06
1337,Os,187,190,1.13E-06
1338,Os,188,190,1.80E-06
1339,Os,189,190,1.53E-06
1340,Os,190,190,1.33E-06
1341,Os,192,190,-2.13E-06
1342,Os,184,192,-2.13E-07
1343,Os,186,192,-6.83E-06
1344,Os,187,192,-1.81E-06
1345,Os,188,192,-2.88E-06
1346,Os,189,192,-2.45E-06
1347,Os,190,192,-2.13E-06
1348,Os,192,192,3.41E-06
1349,Ir,191,191,1.33E-06
1350,Ir,193,191,-1.33E-06
1351,Ir,191,193,-1.33E-06
1352,Ir,193,193,1.33E-06
1353,Pt,190,190,1.33E-10
1354,Pt,192,190,1.60E-09
1355,Pt,194,190,2.73E-08
1356,Pt,195,190,1.60E-08
1357,Pt,196,190,-2.27E-08
1358,Pt,198,190,-8.67E-09
1359,Pt,190,192,1.60E-09
1360,Pt,192,192,1.92E-08
1361,Pt,194,192,3.28E-07
1362,Pt,195,192,1.92E-07
1363,Pt,196,192,-2.72E-07
1364,Pt,198,192,-1.04E-07
1365,Pt,190,194,2.73E-08
1366,Pt,192,194,3.28E-07
1367,Pt,194,194,5.60E-06
1368,Pt,195,194,3.28E-06
1369,Pt,196,194,-4.65E-06
1370,Pt,198,194,-1.78E-06
1371,Pt,190,195,1.60E-08
1372,Pt,192,195,1.92E-07
1373,Pt,194,195,3.28E-06
1374,Pt,195,195,1.92E-06
1375,Pt,196,195,-2.72E-06
1376,Pt,198,195,-1.04E-06
1377,Pt,190,196,-2.27E-08
1378,Pt,192,196,-2.72E-07
1379,Pt,194,196,-4.65E-06
1380,Pt,195,196,-2.72E-06
1381,Pt,196,196,3.85E-06
1382,Pt,198,196,1.47E-06
1383,Pt,190,198,-8.67E-09
1384,Pt,192,198,-1.04E-07
1385,Pt,194,198,-1.78E-06
1386,Pt,195,198,-1.04E-06
1387,Pt,196,198,1.47E-06
1388,Pt,198,198,5.63E-07
1389,Au,197,197,0
1390,Hg,196,196,3.33E-09
1391,Hg,198,196,1.00E-08
1392,Hg,199,196,4.00E-08
1393,Hg,200,196,3.00E-08
1394,Hg,201,196,-3.00E-08
1395,Hg,202,196,-4.33E-08
1396,Hg,204,196,-1.33E-08
1397,Hg,196,198,1.00E-08
1398,Hg,198,198,3.00E-08
1399,Hg,199,198,1.20E-07
1400,Hg,200,198,9.00E-08
1401,Hg,201,198,-9.00E-08
1402,Hg,202,198,-1.30E-07
1403,Hg,204,198,-4.00E-08
1404,Hg,196,199,4.00E-08
1405,Hg,198,199,1.20E-07
1406,Hg,199,199,4.80E-07
1407,Hg,200,199,3.60E-07
1408,Hg,201,199,-3.60E-07
1409,Hg,202,199,-5.20E-07
1410,Hg,204,199,-1.60E-07
1411,Hg,196,200,3.00E-08
1412,Hg,198,200,9.00E-08
1413,Hg,199,200,3.60E-07
1414,Hg,200,200,2.70E-07
1415,Hg,201,200,-2.70E-07
1416,Hg,202,200,-3.90E-07
1417,Hg,204,200,-1.20E-07
1418,Hg,196,201,-3.00E-08
1419,Hg,198,201,-9.00E-08
1420,Hg,199,201,-3.60E-07
1421,Hg,200,201,-2.70E-07
1422,Hg,201,201,2.70E-07
1423,Hg,202,201,3.90E-07
1424,Hg,204,201,1.20E-07
1425,Hg,196,202,-4.33E-08
1426,Hg,198,202,-1.30E-07
1427,Hg,199,202,-5.20E-07
1428,Hg,200,202,-3.90E-07
1429,Hg,201,202,3.90E-07
1430,Hg,202,202,5.63E-07
1431,Hg,204,202,1.73E-07
1432,Hg,196,204,-1.33E-08
1433,Hg,198,204,-4.00E-08
1434,Hg,199,204,-1.60E-07
1435,Hg,200,204,-1.20E-07
1436,Hg,201,204,1.20E-07
1437,Hg,202,204,1.73E-07
1438,Hg,204,204,5.33E-08
1439,Tl,203,203,1.88E-07
1440,Tl,205,203,-1.88E-07
1441,Tl,203,205,-1.88E-07
1442,Tl,205,205,1.88E-07
1443,Pb,204,204,1.20E-05
1444,Pb,206,204,6.00E-05
1445,Pb,207,204,1.00E-04
1446,Pb,208,204,7.70E-05
1447,Pb,204,206,6.00E-05
1448,Pb,206,206,3.00E-04
1449,Pb,207,206,5.00E-04
1450,Pb,208,206,0.000385
1451,Pb,204,207,1.00E-04
1452,Pb,206,207,5.00E-04
1453,Pb,207,207,0.000833333
1454,Pb,208,207,0.000641667
1455,Pb,204,208,7.70E-05
1456,Pb,206,208,0.000385
1457,Pb,207,208,0.000641667
1458,Pb,208,208,0.000494083
1459,Bi,209,209,0
1460,Th,230,230,1.33E-08
1461,Th,232,230,-1.33E-08
1462,Th,230,232,-1.33E-08
1463,Th,232,232,1.33E-08
1464,Pa,231,231,0
1465,U,234,234,8.33E-12
1466,U,235,234,1.00E-11
1467,U,238,234,-1.67E-11
1468,U,234,235,1.00E-11
1469,U,235,235,1.20E-11
1470,U,238,235,-2.00E-11
1471,U,234,238,-1.67E-11
1472,U,235,238,-2.00E-11
1473,U,238,238,3.33E-11
1474,Xb,12,12,3.00E-08
1475,Xb,13,12,-3.00E-08
1476,Xb,12,13,-3.00E-08
1477,Xb,13,13,3.00E-08
1478,Xc,12,12,5.33E-06
1479,Xc,13,12,-5.33E-06
1480,Xc,12,13,-5.33E-06
1481,Xc,13,13,5.33E-06
