element,mass.number,mass,abundance,abundance.min,abundance.max
Ru,104,103.9054275,0.1862,0.1835,0.1889
Rh,103,102.905498,1,1,1
Pd,102,101.9056022,0.0102,0.0101,0.0103
Pd,104,103.9040305,0.1114,0.1106,0.1122
Pd,105,104.9050796,0.2233,0.2225,0.2241
Pd,106,104.9050796,0.2733,0.273,0.2736
Pd,108,107.9038916,0.2646,0.2637,0.2655
Pd,110,109.9051722,0.1172,0.1163,0.1181
Ag,107,106.9050916,0.51839,0.51831,0.51847
Ag,109,108.9047553,0.48161,0.48153,0.48169
Cd,106,105.9064599,0.01245,0.01223,0.01267
Cd,108,107.9041834,0.00888,0.00877,0.00899
Cd,110,109.9030066,0.1247,0.12409,0.12531
Cd,111,110.9041829,0.12795,0.12783,0.12807
Cd,112,111.9027629,0.24109,0.24102,0.24116
Cd,113,112.9044081,0.12227,0.1222,0.12234
Cd,114,113.9033651,0.28754,0.28673,0.28835
Cd,116,115.9047632,0.07512,0.07458,0.07566
In,113,112.9040618,0.04281,0.04229,0.04333
In,115,114.9038788,0.95719,0.95667,0.95771
Sn,112,111.9048239,0.0097,0.0096,0.0098
Sn,114,113.9027827,0.0066,0.0065,0.0067
Sn,115,114.9033447,0.0034,0.0033,0.0035
Sn,116,115.9017428,0.1454,0.1445,0.1463
Sn,117,116.902954,0.0768,0.0761,0.0775
Sn,118,117.9016066,0.2422,0.2413,0.2431
Sn,119,118.9033112,0.0859,0.0855,0.0863
Sn,120,119.9022016,0.3258,0.3249,0.3267
Sn,122,121.9034438,0.0463,0.046,0.0466
Sn,124,123.9052766,0.0579,0.0574,0.0584
Sb,121,120.903812,0.5721,0.5716,0.5726
Sb,123,122.9042132,0.4279,0.4274,0.4284
Te,120,119.904059,0.0009,0.0008,0.001
Te,122,121.9030435,0.0255,0.0243,0.0267
Te,123,122.9042698,0.0089,0.0086,0.0092
Te,124,123.9028171,0.0474,0.046,0.0488
Te,125,124.9044299,0.0707,0.0692,0.0722
Te,126,125.9033109,0.1884,0.1859,0.1909
Te,128,127.9044613,0.3174,0.3166,0.3182
Te,130,129.9062227,0.3408,0.3346,0.347
I,127,126.904472,1,1,1
Xe,124,123.905892,0.00095,0.0009,0.001
Xe,126,125.904298,0.00089,0.00086,0.00092
Xe,128,127.903531,0.0191,0.01897,0.01923
Xe,129,128.9047809,0.26401,0.26263,0.26539
Xe,130,129.9035094,0.04071,0.04049,0.04093
Xe,131,130.9050841,0.21232,0.21181,0.21283
Xe,132,131.9041551,0.26909,0.26854,0.26964
Xe,134,133.9053947,0.10436,0.10401,0.10471
Xe,136,135.9072145,0.08857,0.08785,0.08929
Cs,133,132.905452,1,1,1
Ba,130,129.9063207,0.0011,0.001,0.0012
Ba,132,131.9050611,0.001,0.0009,0.0011
Ba,134,133.9045082,0.0242,0.0227,0.0257
Ba,135,134.9056884,0.0659,0.0649,0.0669
Ba,136,135.9045757,0.0785,0.0761,0.0809
Ba,137,136.9058271,0.1123,0.11,0.1146
Ba,138,137.905247,0.717,0.7141,0.7199
La,138,137.907115,0.0008881,0.000881,0.0008952
La,139,138.9063563,0.9991119,0.9991048,0.999119
Ce,136,135.9071292,0.00186,0.00184,0.00188
Ce,138,137.905991,0.00251,0.00249,0.00253
Ce,140,139.9054431,0.88449,0.88398,0.885
Ce,142,141.9092504,0.11114,0.11063,0.11165
Pr,141,140.9076576,1,1,1
Nd,142,141.907729,0.27153,0.27113,0.27193
Nd,143,142.90982,0.12173,0.12147,0.12199
Nd,144,143.910093,0.23798,0.23779,0.23817
Nd,145,144.9125793,0.08293,0.08281,0.08305
Nd,146,145.9131226,0.17189,0.17157,0.17221
Nd,148,147.9168993,0.05756,0.05735,0.05777
Nd,150,149.9209022,0.05638,0.0561,0.05666
Sm,144,143.9120065,0.0308,0.0304,0.0312
Sm,147,146.9149044,0.15,0.1486,0.1514
Sm,148,147.9148292,0.1125,0.1116,0.1134
Sm,149,148.9171921,0.1382,0.1372,0.1392
Sm,150,149.9172829,0.0737,0.0728,0.0746
Sm,152,151.9197397,0.2674,0.2665,0.2683
Sm,154,153.9222169,0.2274,0.226,0.2288
Eu,151,150.9198578,0.4781,0.4775,0.4787
Eu,153,152.921238,0.5219,0.5213,0.5225
Gd,152,151.9197995,0.002,0.0017,0.0023
Gd,154,153.9208741,0.0218,0.0216,0.022
Gd,155,154.9226305,0.148,0.1471,0.1489
Gd,156,155.9221312,0.2047,0.2044,0.205
Gd,157,156.9239686,0.1565,0.1561,0.1569
Gd,158,157.9241123,0.2484,0.2476,0.2492
Gd,160,159.9270624,0.2186,0.2183,0.2189
Tb,159,158.9253547,1,1,1
Dy,156,155.9242847,0.00056,0.00053,0.00059
Dy,158,157.924416,0.00095,0.00092,0.00098
Dy,160,159.9252046,0.02329,0.02311,0.02347
Dy,161,160.9269405,0.18889,0.18847,0.18931
Dy,162,161.9268056,0.25475,0.25439,0.25511
Dy,163,162.9287383,0.24896,0.24854,0.24938
Dy,164,163.9291819,0.2826,0.28206,0.28314
Ho,165,164.9303288,1,1,1
Er,162,161.9287884,0.00139,0.00134,0.00144
Er,164,163.9292088,0.01601,0.01598,0.01604
Er,166,165.9302995,0.33503,0.33467,0.33539
Er,167,166.9320546,0.22869,0.2286,0.22878
Er,168,167.9323767,0.26978,0.2696,0.26996
Er,170,169.9354702,0.1491,0.14874,0.14946
Tm,169,168.9342179,1,1,1
Yb,168,167.9338896,0.00123,0.0012,0.00126
Yb,170,169.9347664,0.02982,0.02943,0.03021
Yb,171,170.9363302,0.14086,0.13946,0.14226
Yb,172,171.9363859,0.21686,0.21556,0.21816
Yb,173,172.9382151,0.16103,0.1604,0.16166
Yb,174,173.9388664,0.32025,0.31945,0.32105
Yb,176,175.9425764,0.12995,0.12912,0.13078
Lu,175,174.9407752,0.97401,0.97388,0.97414
Lu,176,175.9426897,0.02599,0.02586,0.02612
Hf,174,173.9400461,0.0016,0.0004,0.0028
Hf,176,175.9414076,0.0526,0.0456,0.0596
Hf,177,176.9432277,0.186,0.1844,0.1876
Hf,178,177.9437058,0.2728,0.27,0.2756
Hf,179,178.9458232,0.1362,0.1351,0.1373
Hf,180,179.946557,0.3508,0.3475,0.3541
Ta,180,179.9474648,0.0001201,0.0001169,0.0001233
Ta,181,180.9479958,0.9998799,0.9998767,0.9998831
W,180,179.9467108,0.0012,0.0011,0.0013
W,182,181.9482039,0.265,0.2634,0.2666
W,183,182.9502227,0.1431,0.1427,0.1435
W,184,183.9509309,0.3064,0.3062,0.3066
W,186,185.9543628,0.2843,0.2824,0.2862
Re,185,184.9529545,0.374,0.3735,0.3745
Re,187,186.9557501,0.626,0.6255,0.6265
Os,184,183.9524885,0.0002,0,0.0004
Os,186,185.953835,0.0159,0.0095,0.0223
Os,187,186.9557474,0.0196,0.0179,0.0213
Os,188,187.9558352,0.1324,0.1297,0.1351
Os,189,188.9581442,0.1615,0.1592,0.1638
Os,190,189.9584437,0.2626,0.2606,0.2646
Os,192,191.961477,0.4078,0.4046,0.411
Ir,191,190.9605893,0.373,0.371,0.375
Ir,193,192.9629216,0.627,0.625,0.629
Pt,190,189.95993,0.00012,0.0001,0.00014
Pt,192,191.961039,0.00782,0.00758,0.00806
Pt,194,193.9626809,0.32864,0.32454,0.33274
Pt,195,194.9647917,0.33775,0.33535,0.34015
Pt,196,195.9649521,0.25211,0.24871,0.25551
Pt,198,197.9678949,0.07356,0.07226,0.07486
Au,197,196.9665688,1,1,1
Hg,196,195.965833,0.0015,0.0014,0.0016
Hg,198,197.9667686,0.1004,0.1001,0.1007
Hg,199,198.9682806,0.1694,0.1682,0.1706
Hg,200,199.9683266,0.2314,0.2305,0.2323
Hg,201,200.9703028,0.1317,0.1308,0.1326
Hg,202,201.9706434,0.2974,0.2961,0.2987
Hg,204,203.973494,0.0682,0.0678,0.0686
Tl,203,202.9723446,0.29515,0.2944,0.2959
Tl,205,204.9744278,0.70485,0.7041,0.7056
Pb,204,203.973044,0.014,0.008,0.02
Pb,206,205.9744657,0.241,0.211,0.271
Pb,207,206.9758973,0.221,0.171,0.271
Pb,208,207.9766525,0.524,0.454,0.594
Bi,209,208.9803991,1,1,1
Th,230,230.0331341,0.0002,0,0.0004
Th,232,232.0380558,0.9998,0.9996,1
Pa,231,231.0358842,1,1,1
U,234,234.0409523,0.000054,0.000049,0.000059
U,235,235.0439301,0.007204,0.007198,0.00721
U,238,238.0507884,0.992742,0.992732,0.992752
